Pitcher,AutoPitchType,PitchCall,SpinRate
"Dallas, Micah",Four-Seam,BallCalled,2131.074816
"Dallas, Micah",Slider,InPlay,2062.022488
"Dallas, Micah",Four-Seam,FoulBall,2024.065784
"Dallas, Micah",Slider,StrikeCalled,1898.628905
"Dallas, Micah",Slider,StrikeSwinging,1977.576449
"Dallas, Micah",Slider,BallCalled,1895.504613
"Dallas, Micah",Slider,StrikeCalled,1898.959688
"Dallas, Micah",Slider,BallinDirt,2038.585798
"Dallas, Micah",Sinker,FoulBall,2000.964437
"Dallas, Micah",Slider,FoulBall,2007.853693
"Dallas, Micah",Sinker,BallCalled,1937.293757
"Dallas, Micah",Slider,InPlay,1885.850224
"Smith, Hagen",Slider,BallCalled,2132.908089
"Smith, Hagen",Curveball,StrikeSwinging,2127.028342
"Smith, Hagen",Sinker,BallCalled,1996.967393
"Smith, Hagen",Four-Seam,BallCalled,2090.824314
"Smith, Hagen",Sinker,BallCalled,2084.402759
"Smith, Hagen",Sinker,BallCalled,2007.341489
"Smith, Hagen",Sinker,StrikeCalled,2056.834805
"Smith, Hagen",Sinker,StrikeCalled,2023.148923
"Smith, Hagen",Sinker,BallCalled,2071.960402
"Smith, Hagen",Changeup,BallinDirt,1797.787704
"Smith, Hagen",Sinker,BallCalled,2096.944224
"Morris, Zack",Four-Seam,BallCalled,2132.427084
"Morris, Zack",Four-Seam,FoulBall,2170.775876
"Morris, Zack",Changeup,StrikeSwinging,1077.662436
"Morris, Zack",Curveball,BallCalled,2237.596518
"Morris, Zack",Four-Seam,InPlay,2238.576464
"Morris, Zack",Four-Seam,StrikeCalled,2172.784664
"Morris, Zack",Four-Seam,BallCalled,2273.085684
"Morris, Zack",Curveball,BallCalled,2338.997489
"Morris, Zack",Four-Seam,FoulBall,2262.778689
"Morris, Zack",Curveball,BallCalled,2245.98996
"Morris, Zack",Changeup,FoulBall,1138.206146
"Morris, Zack",Slider,FoulBall,2366.458875
"Morris, Zack",Four-Seam,InPlay,2189.335073
"Morris, Zack",Curveball,StrikeCalled,2206.525773
"Morris, Zack",Changeup,BallCalled,1263.086795
"Morris, Zack",Changeup,StrikeCalled,1213.130372
"Morris, Zack",Slider,FoulBall,2245.85436
"Morris, Zack",Four-Seam,FoulBall,2171.323413
"Morris, Zack",Four-Seam,BallCalled,2096.308924
"Morris, Zack",Slider,StrikeSwinging,2219.535619
"Menefee, Joseph",Cutter,BallCalled,2212.200643
"Menefee, Joseph",Cutter,BallCalled,2186.28806
"Menefee, Joseph",Cutter,StrikeSwinging,2184.355562
"Menefee, Joseph",Cutter,BallCalled,2247.442955
"Menefee, Joseph",Cutter,FoulBall,2251.028296
"Menefee, Joseph",Four-Seam,BallCalled,2211.938323
"Menefee, Joseph",Cutter,BallCalled,2184.480494
"Menefee, Joseph",Changeup,StrikeCalled,2542.781244
"Menefee, Joseph",Cutter,BallCalled,2188.706641
"Menefee, Joseph",Four-Seam,StrikeSwinging,1988.902612
"Menefee, Joseph",Four-Seam,StrikeSwinging,2105.206502
"Menefee, Joseph",Four-Seam,StrikeSwinging,2209.444432
"Menefee, Joseph",Four-Seam,StrikeCalled,2179.635012
"Menefee, Joseph",Four-Seam,BallCalled,2147.877784
"Menefee, Joseph",Changeup,BallCalled,2807.985885
"Menefee, Joseph",Slider,StrikeCalled,2696.956451
"Morris, Zack",Curveball,StrikeCalled,2169.3717
"Morris, Zack",Slider,BallinDirt,2260.220886
"Morris, Zack",Four-Seam,StrikeCalled,2134.366403
"Morris, Zack",Slider,InPlay,2350.298353
"Morris, Zack",Four-Seam,BallCalled,2202.942917
"Morris, Zack",Curveball,StrikeCalled,2131.187723
"Morris, Zack",Changeup,FoulBall,1325.255078
"Morris, Zack",Four-Seam,FoulBall,2185.124201
"Morris, Zack",Curveball,FoulBall,2291.541133
"Morris, Zack",Changeup,InPlay,1283.286239
"Morris, Zack",Curveball,StrikeSwinging,2365.742893
"Morris, Zack",Changeup,StrikeSwinging,1384.837168
"Morris, Zack",Changeup,BallinDirt,1444.822133
"Morris, Zack",Curveball,BallinDirt,2358.069511
"Morris, Zack",Four-Seam,BallCalled,2239.097295
"Morris, Zack",Curveball,FoulBall,2417.182517
"Morris, Zack",Changeup,BallCalled,1188.204393
"Morris, Zack",Four-Seam,StrikeCalled,2233.233949
"Morris, Zack",Curveball,FoulBall,2200.739323
"Morris, Zack",Curveball,BallinDirt,2202.96291
"Morris, Zack",Curveball,FoulBall,2259.147501
"Morris, Zack",Changeup,BallCalled,1186.672197
"Morris, Zack",Changeup,FoulBall,1038.174854
"Morris, Zack",Slider,InPlay,2250.225407
"Menefee, Joseph",Changeup,StrikeSwinging,2575.605507
"Menefee, Joseph",Changeup,BallCalled,2729.311987
"Menefee, Joseph",Changeup,StrikeCalled,2695.325035
"Menefee, Joseph",Changeup,StrikeSwinging,2713.262122
"Menefee, Joseph",Changeup,InPlay,2766.321163
"Menefee, Joseph",Cutter,StrikeCalled,2257.6837
"Menefee, Joseph",Four-Seam,StrikeCalled,2271.604383
"Menefee, Joseph",Changeup,BallinDirt,2728.44044
"Menefee, Joseph",Changeup,BallinDirt,2689.82809
"Menefee, Joseph",Four-Seam,BallCalled,2202.229876
"Menefee, Joseph",Four-Seam,BallCalled,2198.584567
"Menefee, Joseph",Changeup,StrikeCalled,2558.503392
"Menefee, Joseph",Changeup,InPlay,2716.417293
"Menefee, Joseph",Slider,StrikeCalled,2647.662428
"Menefee, Joseph",Four-Seam,BallCalled,2151.892736
"Menefee, Joseph",Changeup,StrikeSwinging,2747.397788
"Menefee, Joseph",Changeup,StrikeSwinging,2745.945696
"Morris, Zack",Four-Seam,StrikeCalled,2143.653969
"Morris, Zack",Curveball,StrikeCalled,2299.22644
"Morris, Zack",Slider,BallCalled,2403.880133
"Morris, Zack",Curveball,InPlay,2230.61375
"Morris, Zack",Curveball,FoulBall,2269.516573
"Morris, Zack",Changeup,StrikeCalled,1303.512177
"Morris, Zack",Four-Seam,BallCalled,2131.406876
"Morris, Zack",Four-Seam,BallCalled,2150.378533
"Morris, Zack",Curveball,InPlay,2343.137357
"Morris, Zack",Sinker,FoulBall,2226.9058
"Morris, Zack",Changeup,InPlay,1291.352445
"Menefee, Joseph",Changeup,BallCalled,2798.595884
"Menefee, Joseph",Changeup,BallCalled,2539.452022
"Menefee, Joseph",Four-Seam,StrikeCalled,2097.751918
"Menefee, Joseph",Changeup,InPlay,2667.984204
"Menefee, Joseph",Four-Seam,StrikeCalled,2270.93696
"Menefee, Joseph",Four-Seam,StrikeCalled,2176.304217
"Menefee, Joseph",Four-Seam,StrikeSwinging,2262.05553
"Menefee, Joseph",Cutter,BallCalled,2273.23947
"Menefee, Joseph",Four-Seam,StrikeCalled,2171.984361
"Menefee, Joseph",Four-Seam,StrikeSwinging,2096.461918
"Menefee, Joseph",Four-Seam,StrikeSwinging,2289.04718
"Vermillion, Zebulon",Four-Seam,BallCalled,2289.520746
"Vermillion, Zebulon",Four-Seam,StrikeCalled,2341.549844
"Vermillion, Zebulon",Four-Seam,StrikeCalled,2376.070433
"Vermillion, Zebulon",Four-Seam,FoulBall,2381.249251
"Vermillion, Zebulon",Slider,BallCalled,2315.982198
"Vermillion, Zebulon",Four-Seam,InPlay,2368.486861
"Vermillion, Zebulon",Four-Seam,BallCalled,2368.78267
"Vermillion, Zebulon",Four-Seam,InPlay,2367.740568
"Vermillion, Zebulon",,StrikeCalled,
"Vermillion, Zebulon",Four-Seam,InPlay,2251.393899
"Taylor, Evan",Sinker,BallCalled,2370.00345
"Taylor, Evan",Sinker,InPlay,2353.730611
"Taylor, Evan",Sinker,InPlay,2360.316572
"Menefee, Joseph",Four-Seam,BallCalled,2192.487121
"Menefee, Joseph",Four-Seam,InPlay,2174.213389
"Menefee, Joseph",Curveball,StrikeCalled,2632.954908
"Menefee, Joseph",Curveball,InPlay,2833.75387
"Menefee, Joseph",Slider,BallCalled,2718.56864
"Menefee, Joseph",Curveball,InPlay,2786.589689
"Menefee, Joseph",Cutter,StrikeCalled,2282.644465
"Taylor, Evan",Sinker,BallCalled,2425.779436
"Taylor, Evan",Sinker,StrikeCalled,2509.33367
